set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.159793 0.992145
0.110476 0.685936

0.0653901 0.406002
0.0639227 0.396891

0.159793 0.992145
0.147911 0.929372

0.0722652 0.448689
0.0653901 0.406002

0.0627153 0.479298
0.077819 0.485613

0.0199339 0.554408
0.0228187 0.553573

0.0798912 0.570036
0.0700847 0.51823

0.172558 0.13003
0.16692 0.156798

0.0843329 0.5935
0.082988 0.586396

0.143895 0.214071
0.139425 0.242548

0.00273905 0.0698625
0.00706566 0.0742826

0.00563984 0.274555
0.00562384 0.273426

0 0
0.0085929 0.0499021

0.00559185 0.271168
0.00553906 0.267443

0.0660623 0.383648
0.217409 0.384572

0.0800924 0.497288
0.075087 0.46621

0.220413 0.38459
0.219427 0.38627

0.00319562 0.10208
0.00317472 0.100605

0.786031 0.0702306
0.74711 0.071814

0.0660623 0.383648
0.0653193 0.388069

0.163665 0.481181
0.163205 0.481962

0.491477 0.328984
0.453476 0.346627

0.949924 0.125946
0.511657 0.320047

0.0296045 0.551611
0.143152 0.518778

0.949924 0.125946
0.907116 0.145333

0.361998 0.389098
0.334711 0.401767

0.789392 0.476334
0.782841 0.474997

0.0083273 0.0517036
0 0

0.29384 0.202833
0.24994 0.179596

0.683914 0.246419
0.648253 0.262569

0.29384 0.202833
0.305607 0.205499

0.672237 0.452421
0.64405 0.446668

0.664335 0.46757
0.665521 0.465296

0.826224 0.121776
0.821325 0.132242

0.3164 0.122355
0.327079 0.122343

0.082988 0.586396
0.0798912 0.570036

0.0734213 0.257228
0.0741472 0.282207

0.281265 0.430985
0.281124 0.430867

0.383484 0.223142
0.420009 0.231417

0.34685 0.0419113
0.350946 0.0621717

0.816925 0.121787
0.826224 0.121776

0.34685 0.0419113
0.583041 0.238399

0.371203 0.0770862
0.375372 0.0803038

0.00316264 0.0997531
0.0030066 0.0887422

0.673079 0.144645
0.579838 0.138397

0.122897 0.192619
0.125293 0.195066

0.130204 0.17025
0.128322 0.176011

0.364995 0.387707
0.361998 0.389098

0.425028 0.338474
0.364995 0.387707

0.66821 0.460141
0.669011 0.458606

0.425028 0.338474
0.42498 0.338752

0.00553029 0.266825
0.00518101 0.242178

0.397746 0.494922
0.182866 0.677664

0.0947605 0.189462
0.182315 0.678133

0.353664 0.0756217
0.354239 0.0784637

0.0947605 0.189462
0.0973318 0.193106

0.0794125 0.511963
0.0823995 0.511119

0.22622 0.45327
0.223281 0.454445

0.127693 0.177938
0.127567 0.178323

0.22622 0.45327
0.227292 0.4536

0.413316 0.405634
0.407394 0.439593

0.139233 0.298167
0.156638 0.304992

0.74711 0.071814
0.701 0.07369

0.970188 0.325218
0.93292 0.282883

0.111806 0.0529584
0.129169 0.0584655

0.300185 0.112708
0.343614 0.126483

0.681956 0.0691965
0.575639 0.0813138

0.848143 0.206716
0.842502 0.202048

0.671014 0.454767
0.671895 0.453078

0.830789 0.181093
0.830327 0.181884

0.664335 0.46757
0.650801 0.480261

0.105199 0.283794
0.0992582 0.278828

0.854014 0.181316
