set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.159793 0.992145
0.183301 0.958139

0.0571598 0.631528
0.0852617 0.650954

0.295287 0.796139
0.334103 0.739988

0.423148 0.655526
0.402403 0.641185

0.402403 0.641185
0.448808 0.574055

0.444671 0.790189
0.426746 0.678038

0.145816 0.579264
0.136601 0.592595

0.0927026 0.656098
0.215372 0.740896

0.0199339 0.554408
0.0254063 0.565745

0.179794 0.189908
0.179536 0.192858

0.985471 0.159543
0.977436 0.165177

0.172558 0.13003
0.179794 0.189908

0.417875 0.51594
0.465989 0.5492

0.465989 0.5492
0.476006 0.534709

0.143895 0.214071
0.17743 0.216997

0.17743 0.216997
0.145816 0.579264

0.863895 0.529509
0.831871 0.483844

0.730056 0.338663
0.623524 0.413374

0.950275 0.797556
0.944716 0.780306

0.00273905 0.0698625
0.052184 0.0873811

0.892334 0.408317
0.8527 0.436112

0.816299 0.46164
0.814336 0.458841

0.00563984 0.274555
0.0266897 0.265346

0.226628 0.803385
0.231627 0.796153

0.252218 0.766367
0.295287 0.796139

0.154528 0.604988
0.136601 0.592595

0.136601 0.592595
0.126402 0.607349

0.712408 0.737633
0.712846 0.737491

0.910403 0.673827
0.907107 0.663601

0.839761 0.851224
0.857321 0.842697

0.405056 0.801405
0.444671 0.790189

0.570081 0.599741
0.476006 0.534709

0.476006 0.534709
0.490562 0.513654

0.101634 0.590228
0.126402 0.607349

0.126402 0.607349
0.0927026 0.656098

0.645417 0.444593
0.623524 0.413374

0.623524 0.413374
0.594665 0.433612

0.960354 0.775266
0.944716 0.780306

0.944716 0.780306
0.929449 0.732929

0.827127 0.48717
0.82811 0.486481

0.831871 0.483844
0.816299 0.46164

0.786031 0.0702306
0.797042 0.085932

0.893766 0.223855
0.888236 0.227733

0.668683 0.596326
0.659911 0.59663

0.0363403 0.560467
0.0254063 0.565745

0.0254063 0.565745
0.0537404 0.624444

0.419595 0.966642
0.406797 0.821192

0.623833 0.83062
0.627348 0.826931

0.596034 0.980213
0.602445 0.945711

0.491477 0.328984
0.504616 0.347718

0.574681 0.447627
0.519836 0.486089

0.701796 0.198101
0.77719 0.305608

0.77719 0.305608
0.730056 0.338663

0.949924 0.125946
0.977436 0.165177

0.977436 0.165177
0.902544 0.217699

0.444262 0.00925045
0.172558 0.13003

0.588646 0.943147
0.602445 0.945711

0.602445 0.945711
0.608413 0.9136

0.280116 0.647237
0.276926 0.651851

0.215372 0.740896
0.252218 0.766367

0.813815 0.14768
0.831599 0.135208

0.831599 0.135208
0.860664 0.176653

0.696386 0.686415
0.712846 0.737491

0.712846 0.737491
0.910403 0.673827

0.461308 0.822676
0.444671 0.790189

0.60883 0.453811
0.594665 0.433612

0.594665 0.433612
0.57581 0.446835

0.938606 0.269122
0.902544 0.217699

0.902544 0.217699
0.893766 0.223855

0.810883 0.90845
0.815267 0.899762

0.665197 0.924153
0.608413 0.9136

0.608413 0.9136
0.610869 0.90038

0.703466 0.595965
0.668683 0.596326

0.99707 0.453044
0.982218 0.446702

